id,name,url,match_logs,logs
b6ee48b1,Leonel Miguel,https://fbref.com/en/players/b6ee48b1/Leonel-Miguel,https://fbref.com/en/players/b6ee48b1/matchlogs/2021-2022/summary/Leonel-Miguel-Match-Logs,"{'2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
3564fbc8,Catalin Mihai Itu,https://fbref.com/en/players/3564fbc8/Catalin-Mihai-Itu,https://fbref.com/en/players/3564fbc8/matchlogs/2021-2022/summary/Catalin-Mihai-Itu-Match-Logs,"{'2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
f4c08f67,Cristian Mihai,https://fbref.com/en/players/f4c08f67/Cristian-Mihai,https://fbref.com/en/players/f4c08f67/matchlogs/2021-2022/summary/Cristian-Mihai-Match-Logs,{'2021-2022': '2021-2022'}
81a4c239,Valentin Mihaila,https://fbref.com/en/players/81a4c239/Valentin-Mihaila,https://fbref.com/en/players/81a4c239/matchlogs/2021-2022/summary/Valentin-Mihaila-Match-Logs,"{'2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022', 'National Team': 'nat_tm'}"
9f1cfc12,Lazar Mihailovic,https://fbref.com/en/players/9f1cfc12/Lazar-Mihailovic,https://fbref.com/en/players/9f1cfc12/matchlogs/2021-2022/summary/Lazar-Mihailovic-Match-Logs,"{'2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
29458058,Andreas Mihaiu,https://fbref.com/en/players/29458058/Andreas-Mihaiu,https://fbref.com/en/players/29458058/matchlogs/2021-2022/summary/Andreas-Mihaiu-Match-Logs,"{'2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
29c28f01,Enea Mihaj,https://fbref.com/en/players/29c28f01/Enea-Mihaj,https://fbref.com/en/players/29c28f01/matchlogs/2021-2022/summary/Enea-Mihaj-Match-Logs,"{'2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022', 'National Team': 'nat_tm'}"
069574c1,Branko Mihajlovic,https://fbref.com/en/players/069574c1/Branko-Mihajlovic,https://fbref.com/en/players/069574c1/matchlogs/2021-2022/summary/Branko-Mihajlovic-Match-Logs,"{'2018-2019': '2018-2019', '2019-2020': '2019-2020', '2021-2022': '2021-2022'}"
3904e745,Dragan Mihajlovic,https://fbref.com/en/players/3904e745/Dragan-Mihajlovic,https://fbref.com/en/players/3904e745/matchlogs/2021-2022/summary/Dragan-Mihajlovic-Match-Logs,"{'2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
70621717,Jovan Mihajlovic,https://fbref.com/en/players/70621717/Jovan-Mihajlovic,https://fbref.com/en/players/70621717/matchlogs/2021-2022/summary/Jovan-Mihajlovic-Match-Logs,"{'2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
